STATE NAME,Sex,Age,Average Income in 2016-17 ($)
QLD,Male,71,54594
QLD,Male,72,54594
QLD,Male,73,54594
QLD,Male,74,54594
QLD,Male,75,54594
QLD,Male,76,54594
QLD,Male,77,54594
QLD,Male,78,54594
QLD,Male,79,54594
QLD,Male,80,54594
QLD,Male,81,54594
QLD,Male,82,54594
QLD,Male,83,54594
QLD,Male,84,54594
QLD,Male,85,54594
QLD,Male,86,54594
QLD,Male,87,54594
QLD,Male,88,54594
QLD,Male,89,54594
QLD,Male,90,54594
QLD,Male,91,54594
QLD,Male,92,54594
QLD,Male,93,54594
QLD,Male,94,54594
QLD,Male,95,54594
QLD,Male,96,54594
QLD,Male,97,54594
QLD,Male,98,54594
QLD,Male,99,54594
QLD,Male,100,54594
QLD,Female,65,37601
QLD,Female,66,37601
QLD,Female,67,37601
QLD,Female,68,37601
QLD,Female,69,37601
QLD,Female,70,37601
QLD,Female,71,37601
QLD,Female,72,37601
QLD,Female,73,37601
QLD,Female,74,37601
QLD,Female,75,37601
QLD,Female,76,37601
QLD,Female,77,37601
QLD,Female,78,37601
QLD,Female,79,37601
QLD,Female,80,37601
QLD,Female,81,37601
QLD,Female,82,37601
QLD,Female,83,37601
QLD,Female,84,37601
QLD,Female,85,37601
QLD,Female,86,37601
QLD,Female,87,37601
QLD,Female,88,37601
QLD,Female,89,37601
QLD,Female,90,37601
QLD,Female,91,37601
QLD,Female,92,37601
QLD,Female,93,37601
QLD,Female,94,37601
QLD,Female,95,37601
QLD,Female,96,37601
QLD,Female,97,37601
QLD,Female,98,37601
QLD,Female,99,37601
QLD,Female,100,37601
QLD,Unknown,65,46098
QLD,Unknown,66,46098
QLD,Unknown,67,46098
QLD,Unknown,68,46098
QLD,Unknown,69,46098
QLD,Unknown,70,46098
QLD,Unknown,71,46098
QLD,Unknown,72,46098
QLD,Unknown,73,46098
QLD,Unknown,74,46098
QLD,Unknown,75,46098
QLD,Unknown,76,46098
QLD,Unknown,77,46098
QLD,Unknown,78,46098
QLD,Unknown,79,46098
QLD,Unknown,80,46098
QLD,Unknown,81,46098
QLD,Unknown,82,46098
QLD,Unknown,83,46098
QLD,Unknown,84,46098
QLD,Unknown,85,46098
QLD,Unknown,86,46098
QLD,Unknown,87,46098
QLD,Unknown,88,46098
QLD,Unknown,89,46098
QLD,Unknown,90,46098
QLD,Unknown,91,46098
QLD,Unknown,92,46098
QLD,Unknown,93,46098
QLD,Unknown,94,46098
QLD,Unknown,95,46098
QLD,Unknown,96,46098
QLD,Unknown,97,46098
QLD,Unknown,98,46098
QLD,Unknown,99,46098
QLD,Unknown,100,46098
